LABEL_pred,count
neutral,0.4126164552699517
pri_adm,0.08912335840161634
gra_rel,0.06813334829947244
cur_con,0.05904141878998765
ang_ann,0.053429116623639014
amusement,0.04905152093388708
love,0.042990234594230556
des_opt,0.0321023683915142
app_rea,0.029745201481647773
exc_joy,0.025030867661914917
dis_sad,0.025030867661914917
disapproval,0.023683915141991245
fea_ner,0.020428779885509035
rem_emb,0.019306319452239307
surprise,0.0172858906723538
caring,0.015489953979122235
grief,0.009765405769446628
disgust,0.007744976989561118
