,precision,recall,f1-score,support
admiration,0.6563814866760168,0.7585089141004863,0.7037593984962406,617.0
amusement,0.7245370370370371,0.8436657681940701,0.7795765877957659,371.0
anger,0.5,0.4977578475336323,0.49887640449438203,223.0
annoyance,0.3448275862068966,0.17793594306049823,0.23474178403755872,281.0
approval,0.49074074074074076,0.25853658536585367,0.33865814696485624,410.0
caring,0.4431818181818182,0.2785714285714286,0.3421052631578947,140.0
confusion,0.4240506329113924,0.35638297872340424,0.3872832369942196,188.0
curiosity,0.3824130879345603,0.6654804270462633,0.48571428571428577,281.0
desire,0.6376811594202898,0.5238095238095238,0.5751633986928104,84.0
disappointment,0.3793103448275862,0.16417910447761194,0.22916666666666666,134.0
disapproval,0.4876847290640394,0.3173076923076923,0.3844660194174757,312.0
disgust,0.569620253164557,0.4411764705882353,0.4972375690607735,102.0
embarrassment,0.6973684210526315,0.5888888888888889,0.6385542168674698,90.0
excitement,0.5185185185185185,0.2828282828282828,0.36601307189542487,99.0
fear,0.7,0.6511627906976745,0.674698795180723,86.0
gratitude,0.8860510805500982,0.8913043478260869,0.8886699507389161,506.0
grief,0.7733333333333333,0.8055555555555556,0.7891156462585034,72.0
joy,0.5494505494505495,0.5617977528089888,0.5555555555555556,178.0
love,0.7058823529411765,0.9028213166144201,0.7922971114167815,319.0
nervousness,0.6447368421052632,0.6533333333333333,0.6490066225165563,75.0
neutral,0.6820005349023803,0.7323377369327972,0.7062733693394267,3482.0
optimism,0.6149732620320856,0.6117021276595744,0.6133333333333333,188.0
pride,0.7272727272727273,0.6956521739130435,0.711111111111111,69.0
realization,0.6666666666666666,0.16666666666666666,0.26666666666666666,120.0
relief,0.5844155844155844,0.5921052631578947,0.5882352941176471,76.0
remorse,0.5,0.8395061728395061,0.6267281105990783,81.0
sadness,0.5763888888888888,0.503030303030303,0.5372168284789645,165.0
surprise,0.5595854922279793,0.6967741935483871,0.6206896551724138,155.0
accuracy,0.6369047619047619,0.6369047619047619,0.6369047619047619,0.6369047619047619
macro avg,0.5866811832329578,0.5520992710742895,0.5528897893121965,8904.0
weighted avg,0.6271561158429171,0.6369047619047619,0.6222869569863321,8904.0
