,precision,recall,f1-score,support
amusement,0.7139588100686499,0.8409703504043127,0.7722772277227724,371.0
ang_ann,0.5189075630252101,0.4891089108910891,0.5035677879714577,505.0
app_rea,0.4716981132075472,0.23540489642184556,0.31407035175879394,531.0
caring,0.463768115942029,0.45714285714285713,0.460431654676259,140.0
cur_con,0.532319391634981,0.5970149253731343,0.5628140703517587,469.0
des_opt,0.5804195804195804,0.6102941176470589,0.5949820788530467,272.0
dis_sad,0.5829596412556054,0.43333333333333335,0.49713193116634796,300.0
disapproval,0.44549763033175355,0.30128205128205127,0.3594646271510516,312.0
disgust,0.7101449275362319,0.4803921568627451,0.5730994152046783,102.0
exc_joy,0.5964125560538116,0.48014440433212996,0.5319999999999999,277.0
fea_ner,0.6318681318681318,0.7142857142857143,0.6705539358600583,161.0
gra_rel,0.8632619439868204,0.8987993138936535,0.880672268907563,583.0
grief,0.7241379310344828,0.875,0.7924528301886793,72.0
love,0.7180156657963447,0.8620689655172413,0.7834757834757834,319.0
neutral,0.6795429815016322,0.7174037909247559,0.6979603241128807,3482.0
pri_adm,0.6700251889168766,0.7743813682678311,0.7184334908845376,687.0
rem_emb,0.6569767441860465,0.6608187134502924,0.6588921282798834,171.0
surprise,0.6363636363636364,0.632258064516129,0.634304207119741,155.0
accuracy,0.6530474800763273,0.6530474800763273,0.6530474800763273,0.6530474800763273
macro avg,0.6220154751738539,0.6144502185858987,0.6114768952047385,8909.0
weighted avg,0.6426125458188765,0.6530474800763273,0.6429657468460356,8909.0
