,precision,recall,f1-score,support
amusement,0.6787234042553192,0.8598382749326146,0.7586206896551724,371.0
app_rea,0.49224806201550386,0.2391713747645951,0.32192648922686945,531.0
des_opt_car,0.558695652173913,0.6237864077669902,0.5894495412844037,412.0
dis_ang_ann,0.49592391304347827,0.6013179571663921,0.5435591958302309,607.0
dis_sad_gri,0.5926966292134831,0.568733153638814,0.5804676753782668,371.0
disapproval,0.41935483870967744,0.4166666666666667,0.4180064308681672,312.0
exc_joy_lov,0.6255259467040674,0.7483221476510067,0.6814362108479756,596.0
fea_ner,0.6630434782608695,0.7577639751552795,0.7072463768115942,161.0
neutral,0.7098934550989345,0.6697300402067777,0.6892271316683907,3482.0
pri_adm_gra_rel,0.8066511987625676,0.8219070133963751,0.814207650273224,1269.0
rem_emb,0.6609195402298851,0.672514619883041,0.6666666666666666,171.0
sur_cur_con,0.594311377245509,0.6362179487179487,0.6145510835913313,624.0
accuracy,0.6583585943639834,0.6583585943639834,0.6583585943639834,0.6583585943639834
macro avg,0.6081656246427674,0.6346641316622085,0.615447095175191,8907.0
weighted avg,0.6572412792003977,0.6583585943639834,0.6535934999073734,8907.0
