,precision,recall,f1-score,support
amusement,0.6556701030927835,0.8571428571428571,0.7429906542056075,371.0
ang_ann,0.5175257731958763,0.49604743083003955,0.5065590312815339,506.0
app_rea,0.4942084942084942,0.24060150375939848,0.3236409608091024,532.0
caring,0.3798449612403101,0.3475177304964539,0.362962962962963,141.0
cur_con,0.5505836575875487,0.6021276595744681,0.5752032520325204,470.0
des_opt,0.6431372549019608,0.6007326007326007,0.6212121212121212,273.0
dis_sad,0.5725190839694656,0.5,0.5338078291814946,300.0
disapproval,0.437984496124031,0.3610223642172524,0.3957968476357268,313.0
disgust,0.5595238095238095,0.4563106796116505,0.5026737967914439,103.0
exc_joy,0.5393700787401575,0.48928571428571427,0.5131086142322098,280.0
fea_ner,0.6608695652173913,0.7169811320754716,0.6877828054298641,106.0
gra_rel,0.9068441064638784,0.8833333333333333,0.8949343339587241,540.0
grief,0.0,0.0,0.0,8.0
love,0.7356020942408377,0.8646153846153846,0.7949080622347949,325.0
neutral,0.6869284561592254,0.7313860252004581,0.7084604715672677,3492.0
pri_adm,0.7236024844720497,0.7350157728706624,0.729264475743349,634.0
rem_emb,0.6642335766423357,0.7165354330708661,0.6893939393939394,127.0
surprise,0.5502958579881657,0.6,0.5740740740740741,155.0
accuracy,0.6544490548639926,0.6544490548639926,0.6544490548639926,0.6544490548639926
macro avg,0.5710413252093511,0.5665919789898117,0.5642652351525964,8676.0
weighted avg,0.6453941082083249,0.6544490548639926,0.6456983607872748,8676.0
