,precision,recall,f1-score,support
amusement,0.7403846153846154,0.8301886792452831,0.7827191867852605,371.0
app_rea,0.48214285714285715,0.25375939849624063,0.332512315270936,532.0
des_opt_car,0.616751269035533,0.5883777239709443,0.6022304832713756,413.0
dis_ang_ann,0.5529865125240848,0.47126436781609193,0.5088652482269503,609.0
dis_sad_gri,0.6311111111111111,0.459546925566343,0.5318352059925093,309.0
disapproval,0.524822695035461,0.2364217252396166,0.32599118942731276,313.0
exc_joy_lov,0.7440147329650092,0.6688741721854304,0.7044463818657367,604.0
fea_ner,0.6923076923076923,0.6792452830188679,0.6857142857142857,106.0
neutral,0.6560136618687484,0.7700458190148912,0.7084705572388355,3492.0
pri_adm_gra_rel,0.7679259830377795,0.848381601362862,0.8061513557264265,1174.0
rem_emb,0.6033057851239669,0.5748031496062992,0.5887096774193549,127.0
sur_cur_con,0.5884543761638734,0.5047923322683706,0.5434221840068787,626.0
accuracy,0.6614799446749654,0.6614799446749654,0.6614799446749654,0.6614799446749654
macro avg,0.6333517743083944,0.5738084314826034,0.5934223392454886,8676.0
weighted avg,0.6503064994286308,0.6614799446749654,0.6484322774757051,8676.0
