LABEL_pred,count
neutral,0.42853849700322727
pri_adm,0.07422775472568004
gra_rel,0.06062701705855233
cur_con,0.05924389119409866
ang_ann,0.055901337021668975
amusement,0.055901337021668975
love,0.04402950668510835
dis_sad,0.030198248040571692
app_rea,0.029852466574458277
disapproval,0.029737206085753802
des_opt,0.029391424619640387
exc_joy,0.029276164130935915
surprise,0.019479022591055786
rem_emb,0.015790686952512678
caring,0.014868603042876901
fea_ner,0.013254956201014292
disgust,0.009681881051175657
