,precision,recall,f1-score,support
amu_exc_joy_lov,0.6867167919799498,0.8422131147540983,0.756557754256788,976.0
des_opt_car,0.508130081300813,0.6053268765133172,0.5524861878453039,413.0
dis_ang_ann_dis,0.5931307793923382,0.48751357220412594,0.5351609058402861,921.0
fea_ner,0.5185185185185185,0.660377358490566,0.5809128630705394,106.0
neutral,0.6884038199181446,0.7225085910652921,0.7050440128545479,3492.0
pri_adm_gra_rel_app_rea,0.7571333775713338,0.6688159437280188,0.710239651416122,1706.0
rem_emb_dis_sad_gri,0.6069767441860465,0.5986238532110092,0.602771362586605,436.0
sur_cur_con,0.6713995943204868,0.5287539936102237,0.5915996425379803,626.0
accuracy,0.6739280774550485,0.6739280774550485,0.6739280774550485,0.6739280774550485
macro avg,0.628801213398454,0.6392666629470813,0.6293465475510216,8676.0
weighted avg,0.6756389362763452,0.6739280774550485,0.6717230693890776,8676.0
